algorithm,omp_schedule,chunk,replication,time
mandelbrot,auto,16,10,1.27541
stencil2d,auto,16,10,2.18235
mandelbrot,auto,32,1,1.28748
stencil2d,auto,32,1,2.51714
mandelbrot,auto,32,2,1.61842
stencil2d,auto,32,2,1.96279
mandelbrot,auto,32,3,1.28685
stencil2d,auto,32,3,1.9782
mandelbrot,auto,32,4,1.28778
stencil2d,auto,32,4,1.94168
mandelbrot,auto,32,5,1.28717
stencil2d,auto,32,5,1.96465
mandelbrot,auto,32,6,1.28707
stencil2d,auto,32,6,1.98321
mandelbrot,auto,32,7,1.28772
stencil2d,auto,32,7,1.95146
mandelbrot,auto,32,8,1.28778
stencil2d,auto,32,8,2.03743
mandelbrot,auto,32,9,1.28791
stencil2d,auto,32,9,1.98422
mandelbrot,auto,32,10,1.28766
stencil2d,auto,32,10,2.2412
mandelbrot,auto,64,1,1.6295
stencil2d,auto,64,1,1.96628
mandelbrot,auto,64,2,1.62048
stencil2d,auto,64,2,1.94123
mandelbrot,auto,64,3,1.62062
stencil2d,auto,64,3,1.95162
mandelbrot,auto,64,4,1.62025
stencil2d,auto,64,4,1.93275
mandelbrot,auto,64,5,1.62038
stencil2d,auto,64,5,1.92814
mandelbrot,auto,64,6,1.62029
stencil2d,auto,64,6,1.92913
mandelbrot,auto,64,7,1.62024
stencil2d,auto,64,7,1.91387
mandelbrot,auto,64,8,1.62004
stencil2d,auto,64,8,2.01245
mandelbrot,auto,64,9,1.63184
stencil2d,auto,64,9,2.25227
mandelbrot,auto,64,10,1.61805
stencil2d,auto,64,10,1.92637
